CMDLINE ./hdiffz /home/jbw/huawei_1000/C100157349/1.19.3.zip /home/jbw/huawei_1000/C100157349/1.19.4.zip diff
MEM 0.003906 1678775152.6373
MEM 16.593750 1678775152.7410
MEM 36.960938 1678775152.8521
MEM 57.585938 1678775152.9632
MEM 78.468750 1678775153.0751
MEM 98.578125 1678775153.1863
MEM 117.140625 1678775153.2974
MEM 137.507812 1678775153.4056
MEM 156.843750 1678775153.5122
MEM 178.757812 1678775153.6209
MEM 199.125000 1678775153.7343
MEM 221.296875 1678775153.8449
MEM 241.148438 1678775153.9574
MEM 260.484375 1678775154.0683
MEM 281.882812 1678775154.1806
MEM 302.507812 1678775154.2921
MEM 323.132812 1678775154.4032
MEM 344.531250 1678775154.5158
MEM 366.445312 1678775154.6284
MEM 387.328125 1678775154.7383
MEM 405.632812 1678775154.8465
MEM 426.773438 1678775154.9598
MEM 446.109375 1678775155.0705
MEM 468.281250 1678775155.1829
MEM 486.843750 1678775155.2920
MEM 507.468750 1678775155.4042
MEM 528.093750 1678775155.5115
MEM 549.750000 1678775155.6237
MEM 571.148438 1678775155.7345
MEM 592.289062 1678775155.8469
MEM 613.171875 1678775155.9585
MEM 633.539062 1678775156.0689
MEM 654.421875 1678775156.1787
MEM 676.335938 1678775156.2921
MEM 698.507812 1678775156.4048
MEM 718.617188 1678775156.5142
MEM 738.210938 1678775156.6261
MEM 757.289062 1678775156.7389
MEM 778.171875 1678775156.8517
MEM 797.507812 1678775156.9587
MEM 817.359375 1678775157.0710
MEM 838.500000 1678775157.1838
MEM 858.351562 1678775157.2949
MEM 878.460938 1678775157.4028
MEM 898.828125 1678775157.5138
MEM 919.195312 1678775157.6258
MEM 940.335938 1678775157.7373
MEM 960.960938 1678775157.8489
MEM 982.617188 1678775157.9576
MEM 1000.664062 1678775158.0690
MEM 1018.195312 1678775158.1787
MEM 1038.820312 1678775158.2885
MEM 1044.234375 1678775158.4003
MEM 1058.414062 1678775158.5137
MEM 1079.039062 1678775158.6261
MEM 1099.148438 1678775158.7379
MEM 1118.484375 1678775158.8492
MEM 1137.562500 1678775158.9624
MEM 1157.671875 1678775159.0733
MEM 1178.039062 1678775159.1824
MEM 1198.148438 1678775159.2902
MEM 1219.289062 1678775159.4010
MEM 1241.976562 1678775159.5143
MEM 1264.148438 1678775159.6258
MEM 1285.289062 1678775159.7386
MEM 1305.398438 1678775159.8519
MEM 1321.898438 1678775159.9658
MEM 1337.367188 1678775160.0758
MEM 1354.640625 1678775160.1868
MEM 1373.718750 1678775160.2960
MEM 1392.281250 1678775160.4067
MEM 1411.359375 1678775160.5182
MEM 1429.148438 1678775160.6281
MEM 1450.031250 1678775160.7409
MEM 1469.625000 1678775160.8532
