filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
app-metadata.properties,properties,0,51,55,8,0,0
baseline.prof,prof,138,9717,9717,0,0,0
classes.dex,dex,9913,3435024,8466676,8,1,0
classes10.dex,dex,3444978,2606596,6655720,8,1,0
classes11.dex,dex,6051617,1168013,4688920,8,1,0
classes12.dex,dex,7219673,1211607,4838236,8,1,0
classes13.dex,dex,8431323,1372618,5124452,8,1,0
classes14.dex,dex,9803984,2039669,6093344,8,1,0
classes15.dex,dex,11843696,3066494,8061376,8,1,0
classes16.dex,dex,14910233,3049890,7921888,8,1,0
classes17.dex,dex,17960166,3124467,8582188,8,1,0
classes18.dex,dex,21084676,2921449,7724712,8,1,0
classes2.dex,dex,24006168,2938376,7947480,8,1,0
classes3.dex,dex,26944586,2823093,7421148,8,1,0
classes4.dex,dex,29767721,2780830,7200212,8,1,0
classes5.dex,dex,32548593,3183370,8391328,8,1,0
classes6.dex,dex,35732005,2886621,7531360,8,1,0
classes7.dex,dex,38618668,2991722,7860292,8,1,0
classes8.dex,dex,41610432,3080524,7906068,8,1,0
classes9.dex,dex,44690998,3071738,8356884,8,1,0
libBugly.so,so,47762778,83513,190656,8,1,0
libBurstLinker.so,so,47846346,310199,1026280,8,1,0
libCtaApiLib.so,so,48156606,176069,494080,8,1,0
libMegActionFmpJni.so,so,48332734,410850,1055416,8,1,0
libSapling.so,so,48743649,287849,825520,8,1,0
libadjni.so,so,49031555,272505,944360,8,1,0
libavif-jni.so,so,49304115,93955,251984,8,1,0
libavif.so,so,49398128,57945,116624,8,1,0
libbili-webp.so,so,49456127,161723,395496,8,1,0
libbili.so,so,49617909,431718,875000,8,1,0
libbili_core.so,so,50049681,57547,125424,8,1,0
libbili_core_dumper.so,so,50107287,66491,130072,8,1,0
libbilicr.88.0.4324.188.so,so,50173844,2473613,5326600,8,1,0
libbiliid.so,so,52647527,276038,948744,8,1,0
libbilirtclibrary.so,so,52923621,3405826,8761424,8,1,0
libblkv.so,so,56329511,88127,272440,8,1,0
libbtrace.so,so,56417692,89266,276664,8,1,0
libbvc-xcode-tools.so,so,56507014,20612,55208,8,1,0
libc++_shared.so,so,56527691,303846,1055016,8,1,0
libchronos.so,so,56831597,1044225,3558008,8,1,0
libcrypto_c.so,so,57875879,22998,75600,8,1,0
libdim.so,so,57898935,419612,1444432,8,1,0
libdynamicengine.so,so,58318600,369772,722992,8,1,0
libed25519.so,so,58688435,64302,96072,8,1,0
libentryexpro.so,so,58752794,78928,177624,8,1,0
libfb_dalvik-internals.so,so,58831782,5694,14216,8,1,0
libgifimage.so,so,58837545,106275,289184,8,1,0
libijkDolbyVision.so,so,58943878,410481,1145952,8,1,0
libijkabr.so,so,59354423,301171,1026296,8,1,0
libijkffmpeg.so,so,59655650,4452764,9657288,8,1,0
libijkplayer.so,so,64108473,3829731,10079416,8,1,0
libijksdl.so,so,67938263,452457,1576120,8,1,0
libimagepipeline.so,so,68390776,2887,10096,8,1,0
libjsc.so,so,68393726,2966532,8864512,8,1,0
libkoom-java.so,so,71360311,5001,14312,8,1,0
libkwai-linker.so,so,71365371,5511,14160,8,1,0
liblpLite.so,so,71370943,1408,5896,8,1,0
libmegface.so,so,71372407,793929,2287272,8,1,0
libmsaoaidauth.so,so,72166393,94808,421888,8,1,0
libmsaoaidsec.so,so,72261262,297663,634880,8,1,0
libnative-filters.so,so,72558985,12184,22264,8,1,0
libnative-imagetranscoder.so,so,72571233,193035,477096,8,1,0
libndkbitmap.so,so,72764340,3120,10080,8,1,0
libnirvana.so,so,72767519,342167,934432,8,1,0
libsls_producer.so,so,73109743,61247,149504,8,1,0
libstatic-webp.so,so,73171052,247756,612992,8,1,0
libtencentloc.so,so,73418869,165244,397592,8,1,0
libuptsmaddon.so,so,73584173,324053,781280,8,1,0
libweibosdkcore.so,so,73908286,11026,26136,8,1,0
libwind.so,so,73919374,19525,42888,8,1,0
libxhook_lib.so,so,73938953,10414,22496,8,1,0
libxp2p.so,so,73949426,772150,2221248,8,1,0
agileplugin.json,json,74721630,343,1155,8,1,0
app-load-report.js,js,74722026,711,1604,8,1,0
appbase_1661149883752.zip,zip,74722792,180693,181258,8,1,0
backgroundColor.xml,xml,74903547,156,286,8,1,0
bangumi_count_down.json,json,74903770,561,1429,8,1,0
bangumi_current_watching_ep.svga,svga,74904391,1064,1059,8,1,0
