filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
app-metadata.properties,properties,0,51,55,8,0,0
baseline.prof,prof,138,9470,9470,0,0,0
classes.dex,dex,9666,3432258,8490660,8,1,0
classes10.dex,dex,3441965,2171232,5586748,8,1,0
classes11.dex,dex,5613240,1212603,4740508,8,1,0
classes12.dex,dex,6825886,1190776,4773592,8,1,0
classes13.dex,dex,8016705,1308931,5020136,8,1,0
classes14.dex,dex,9325679,2049123,6120536,8,1,0
classes15.dex,dex,11374845,3040399,8005092,8,1,0
classes16.dex,dex,14415287,3040761,7886604,8,1,0
classes17.dex,dex,17456091,3137491,8608948,8,1,0
classes18.dex,dex,20593625,2924747,7725036,8,1,0
classes2.dex,dex,23518415,2935453,7932804,8,1,0
classes3.dex,dex,26453910,2827594,7432220,8,1,0
classes4.dex,dex,29281546,2778812,7195140,8,1,0
classes5.dex,dex,32060400,3184283,8400944,8,1,0
classes6.dex,dex,35244725,2866179,7450824,8,1,0
classes7.dex,dex,38110946,2972077,7822804,8,1,0
classes8.dex,dex,41083065,3165822,8141904,8,1,0
classes9.dex,dex,44248929,3117585,8341660,8,1,0
libBugly.so,so,47366556,83597,165628,8,1,0
libBurstLinker.so,so,47450210,240844,640768,8,1,0
libCtaApiLib.so,so,47691117,140189,280448,8,1,0
libMegActionFmpJni.so,so,47831367,333494,673668,8,1,0
libSapling.so,so,48164928,258245,595692,8,1,0
libadjni.so,so,48423232,209790,583424,8,1,0
libavif-jni.so,so,48633079,67250,136884,8,1,0
libavif.so,so,48700389,57212,95908,8,1,0
libbili-webp.so,so,48757657,151694,313056,8,1,0
libbili.so,so,48909412,429677,734060,8,1,0
libbili_core.so,so,49339145,48231,88008,8,1,0
libbili_core_dumper.so,so,49387437,55718,92208,8,1,0
libbilicr.88.0.4324.188.so,so,49443223,2354970,3891704,8,1,0
libbiliid.so,so,51798265,213220,583616,8,1,0
libbilirtclibrary.so,so,52011543,2741473,5089080,8,1,0
libblkv.so,so,54753082,66764,153228,8,1,0
libbtrace.so,so,54819902,66470,153292,8,1,0
libbvc-xcode-tools.so,so,54886430,22992,46736,8,1,0
libc++_shared.so,so,54909489,238375,657200,8,1,0
libchronos.so,so,55147926,917822,2402312,8,1,0
libcrypto_c.so,so,56065807,26147,63056,8,1,0
libdim.so,so,56092014,330594,931776,8,1,0
libdynamicengine.so,so,56422663,353782,550548,8,1,0
libed25519.so,so,56776510,72177,99872,8,1,0
libentryexpro.so,so,56848746,61534,111880,8,1,0
libfb_dalvik-internals.so,so,56910342,8429,18028,8,1,0
libgifimage.so,so,56918842,84426,165620,8,1,0
libijkDolbyVision.so,so,57003328,383600,956992,8,1,0
libijkabr.so,so,57386994,246560,661260,8,1,0
libijkffmpeg.so,so,57633612,4195464,8133960,8,1,0
libijkplayer.so,so,61829137,3470123,7837532,8,1,0
libijksdl.so,so,65299321,363507,1022356,8,1,0
libimagepipeline.so,so,65662886,2904,9728,8,1,0
libjsc.so,so,65665855,2229720,5563884,8,1,0
libkoom-java.so,so,67895630,4949,13964,8,1,0
libkwai-linker.so,so,67900640,5611,13860,8,1,0
liblpLite.so,so,67906314,6306,13904,8,1,0
libmegface.so,so,67912678,708496,1402620,8,1,0
libmsaoaidauth.so,so,68621233,79878,172032,8,1,0
libmsaoaidsec.so,so,68701174,318492,413696,8,1,0
libnative-filters.so,so,69019728,6523,13764,8,1,0
libnative-imagetranscoder.so,so,69026317,160934,300544,8,1,0
libndkbitmap.so,so,69187325,6510,13452,8,1,0
libnirvana.so,so,69193896,284874,597856,8,1,0
libsls_producer.so,so,69478829,51622,100040,8,1,0
libstatic-webp.so,so,69530515,205831,411500,8,1,0
libtencentloc.so,so,69736409,132340,257876,8,1,0
libuptsmaddon.so,so,69868811,275573,579564,8,1,0
libutility.so,so,70144446,15359,30232,8,1,0
libweibosdkcore.so,so,70159864,11896,21752,8,1,0
libwind.so,so,70171824,20176,34416,8,1,0
libxhook_lib.so,so,70192056,9704,18028,8,1,0
libxp2p.so,so,70201821,616743,1344456,8,1,0
libbili.so,so,70818620,315236,689004,8,1,0
libblkv.so,so,71133904,103793,280208,8,1,0
libfb_dalvik-internals.so,so,71237745,5670,13876,8,1,0
libimagepipeline.so,so,71243478,2954,9668,8,1,0
agileplugin.json,json,71246489,343,1155,8,1,0
app-load-report.js,js,71246885,711,1604,8,1,0
appbase_1661149883752.zip,zip,71247651,180693,181258,8,1,0
backgroundColor.xml,xml,71428406,156,286,8,1,0
bangumi_count_down.json,json,71428629,561,1429,8,1,0
bangumi_current_watching_ep.svga,svga,71429250,1064,1059,8,1,0
bangumi_detail_playing.json,json,71430383,784,6746,8,1,0
bangumi_detail_playing_night.json,json,71431231,795,6780,8,1,0
bangumi_follow_guide_light_lottie.json,json,71432096,2508,65881,8,1,0
bangumi_follow_guide_night_lottie.json,json,71434679,2524,65915,8,1,0
bangumi_full_screen_like_triple.json,json,71437278,3818,30536,8,1,0
bangumi_full_screen_like_triple_unlogin.json,json,71441169,2783,20483,8,1,0
bangumi_half_screen_like_triple.json,json,71444033,4082,33239,8,1,0
bangumi_half_screen_like_triple_unlogin.json,json,71448188,3019,22244,8,1,0
bangumi_player_follow_guide.json,json,71451288,973,5044,8,1,0
bangumi_player_follow_guide_night.json,json,71452330,1062,5727,8,1,0
AlphaTexture.fsh,fsh,71453467,118,150,8,1,0
Flat.fsh,fsh,71453654,74,91,8,1,0
OESTexture.fsh,fsh,71453789,158,221,8,1,0
Pattern.fsh,fsh,71454014,130,167,8,1,0
RadialGradient.fsh,fsh,71454208,318,632,8,1,0
RecordTexture.fsh,fsh,71454597,120,165,8,1,0
RecordVertex.vsh,vsh,71454787,105,174,8,1,0
Shadow.fsh,fsh,71454961,272,593,8,1,0
ShadowVertex.vsh,vsh,71455296,145,224,8,1,0
Texture.fsh,fsh,71455510,114,145,8,1,0
Vertex.vsh,vsh,71455688,171,272,8,1,0
bili_app_headset_ip_pause.json,json,71455922,970,2850,8,1,0
bili_app_headset_ip_play.json,json,71456959,965,2638,8,1,0
bili_app_triple_custom_success.svga,svga,71457990,1776,2376,8,1,0
bili_avatar_living_animation.json,json,71459838,725,3131,8,1,0
bili_player_guide_tip_dark.svga,svga,71460633,12571,12566,8,1,0
bili_player_guide_tip_fullscreen_landscape.svga,svga,71473272,7584,7579,8,1,0
bili_player_guide_tip_fullscreen_vertical.svga,svga,71480940,7428,7423,8,1,0
bili_player_guide_tip_normal.svga,svga,71488451,12564,12559,8,1,0
bilingsp.bs,bs,71501085,1011,1006,8,1,0
ab.json,json,71502144,17381,103156,8,1,0
config.json,json,71519583,87635,140517,8,1,0
vers.json,json,71607280,40,49,8,1,0
ab.json,json,71607380,11735,78727,8,1,0
config.json,json,71619173,91258,142657,8,1,0
vers.json,json,71710493,40,49,8,1,0
br_loading.json,json,71710593,1512,17901,8,1,0
caption.json,json,71712157,130,245,8,1,0
D6CF564E-040A-460B-83BA-2CEF62E6F8CD.compoundcaption,compoundcaption,71712344,9012,12390,8,1,0
D6CF564E-040A-460B-83BA-2CEF62E6F8CD.lic,lic,71721462,341,336,8,1,0
ECA8E84A-EAAB-4335-8CC7-46BA31FDA7D3.captionstyle,captionstyle,71721897,1820,2806,8,1,0
ECA8E84A-EAAB-4335-8CC7-46BA31FDA7D3.lic,lic,71723820,293,288,8,1,0
cheese_lottie_playing_day.json,json,71724207,750,3132,8,1,0
cheese_lottie_playing_large_day.json,json,71725024,797,6777,8,1,0
cheese_lottie_playing_large_night.json,json,71725894,801,6780,8,1,0
cheese_lottie_playing_night.json,json,71726770,756,3140,8,1,0
china_area_list.json,json,71727595,17022,51021,8,1,0
native-es5-inline.html,html,71744674,71376,207405,8,1,0
native-es5.html,html,71816113,287,606,8,1,0
native-es5.js,js,71816456,71079,206819,8,1,0
click_interaction.json,json,71887589,3617,18095,8,1,0
column_share_image.js,js,71891265,307,841,8,1,0
column_share_img_loading.json,json,71891630,1512,17901,8,1,0
countdown.json,json,71893208,8972,89587,8,1,0
country_code.json,json,71902231,2925,11044,8,1,0
cron_package,cron_package,71905210,176925,179805,8,1,0
region3.json,json,72082184,2970,13585,8,1,0
din-Medium.otf,otf,72085208,1757,2328,8,1,0
double.json,json,72087016,1229,13642,8,1,0
double_night.json,json,72088293,1244,13687,8,1,0
dsa_priv.pem,pem,72089591,369,448,8,1,0
dumixar.license,license,72090009,517,512,8,1,0
easygo.json,json,72090578,270,590,8,1,0
editor_tab_template_anim.json,json,72090896,1542,7315,8,1,0
emotes.json,json,72092504,832,7016,8,1,0
faceidmodel.bin,bin,72093384,773715,773577,8,1,0
config.json,json,72867151,42,57,8,1,0
C9393534-8568-4528-BEF9-E6F9F6513E73.1.lic,lic,72867255,289,495,8,1,0
C9393534-8568-4528-BEF9-E6F9F6513E73.1.videofx,videofx,72867630,169126,169358,8,1,0
authorspace_fanswall.ttf,ttf,73036846,1453,3152,8,1,0
danmaku.ttf,ttf,73038366,80990,166320,8,1,0
fan_medal_level.ttf,ttf,73119410,1577,2484,8,1,0
fragment.glsl,glsl,73121049,117,149,8,1,0
iconfont.ttf,ttf,73121216,9289,16652,8,1,0
gesture_control_setting_click_danmaku_to_thumbup_or_report.json,json,73130559,1550,10681,8,1,0
gesture_control_setting_double_click_by_double_finger.json,json,73132209,1290,9101,8,1,0
gesture_control_setting_long_click_show_triple_speed.json,json,73133594,1685,10944,8,1,0
gesture_control_setting_rotation_or_enlarge_by_double_finger.json,json,73135373,2110,14787,8,1,0
gift_open_lottie.json,json,73137585,379,1235,8,1,0
gift_shake_lottie.json,json,73138022,405,1359,8,1,0
grs_sdk_global_route_config_opendevicesdk.json,json,73138486,1043,7356,8,1,0
grs_sdk_global_route_config_opensdkService.json,json,73139612,1143,10205,8,1,0
grs_sdk_server_config.json,json,73140839,155,370,8,1,0
grs_sp.bks,bks,73141057,1389,1470,8,1,0
hmsincas.bks,bks,73142493,2667,3081,8,1,0
hmsrootcas.bks,bks,73145209,24595,34432,8,1,0
home_tab_icon_arrow.json,json,73169855,1220,3704,8,1,0
home_tab_loading.json,json,73171136,1138,3349,8,1,0
home_tab_publish_day.svga,svga,73172332,8855,8940,8,1,0
home_tab_publish_night.svga,svga,73181249,8874,8972,8,1,0
home_tab_scroll_down.json,json,73190187,788,4560,8,1,0
home_tab_switch_to_normal.json,json,73191037,788,4088,8,1,0
https%3A%2F%2Fs1.hdslb.com%2Fbfs%2Fstatic%2Fmall-c%2Fstatic%2Fcss%2Ffrom.8ed1c19f258779ab3ec8de8619bc2d2d.css,css,73191892,5401,15000,8,1,0
https%3A%2F%2Fs1.hdslb.com%2Fbfs%2Fstatic%2Fmall-c%2Fstatic%2Fcss%2Finternational.d77164f8267a165b0f176d44fdeed2c2.css,css,73197439,699,2603,8,1,0
https%3A%2F%2Fs1.hdslb.com%2Fbfs%2Fstatic%2Fmall-c%2Fstatic%2Fjs%2Finternational.43dc88be05af651b8f08.js,js,73198293,617,1121,8,1,0
https%3A%2F%2Fs1.hdslb.com%2Fbfs%2Fstatic%2Fmall-c%2Fstatic%2Fjs%2Fmanifest.92ff44b49b1aea3c1a5d.js,js,73199051,440,815,8,1,0
https%3A%2F%2Fs1.hdslb.com%2Fbfs%2Fstatic%2Fmall-c%2Fstatic%2Fjs%2Fvendor.32f29b5a7291ba710781.js,js,73199627,38593,108971,8,1,0
ic_player_remote_link_check.json,json,73238354,1014,5954,8,1,0
ic_player_remote_switch_device.json,json,73239437,1188,10515,8,1,0
ic_projection_float.json,json,73240697,1188,10515,8,1,0
ic_tv_loading.json,json,73241946,1512,17901,8,1,0
metadata.json,json,73243513,2636,14720,8,1,0
typeface.ttf,ttf,73246209,48792,101436,8,1,0
iconfont.ttf,ttf,73295060,62112,129932,8,1,0
im_clear_complete.json,json,73357221,558,1346,8,1,0
ad_more.png,png,73357838,657,657,0,0,0
ad_return.png,png,73358553,342,342,0,0,0
ad_sound.png,png,73358954,409,409,0,0,0
ad_sound_mute.png,png,73359421,442,442,0,0,0
img_0.png,png,73359926,4915,4915,0,0,0
inline_click_to_dislike.json,json,73364895,950,3515,8,1,0
inline_click_to_dislike_night.json,json,73365910,955,3523,8,1,0
inline_click_to_like.json,json,73366936,2351,19125,8,1,0
inline_click_to_like_night.json,json,73369349,2337,19130,8,1,0
inline_double_click_like.svga,svga,73371754,7157,7428,8,1,0
inline_player_seek_bar_tv_drag.json,json,73378977,914,7399,8,1,0
inline_player_seek_bar_tv_stop.json,json,73379963,995,10053,8,1,0
inline_seek_guide_animation.json,json,73381030,1747,7248,8,1,0
inline_triple_like.json,json,73382846,3918,29276,8,1,0
int_load.json,json,73386824,1240,15463,8,1,0
int_water.json,json,73388114,2151,12177,8,1,0
bl_sdk.lic,lic,73390316,133,128,8,1,0
dumixar_Android.license,license,73390500,261,256,8,1,0
versa_2023_01_17.licence,licence,73390825,1754,3104,8,1,0
live.json,json,73392644,1179,18486,8,1,0
live_feed_guide_ani.svga,svga,73393869,32134,34459,8,1,0
live_ic_live.json,json,73426064,2229,86072,8,1,0
live_loading.json,json,73428347,3259,87984,8,1,0
live_record_player_seek_bar_tv_1.json,json,73431660,898,7229,8,1,0
live_record_player_seek_bar_tv_2.json,json,73432632,975,10019,8,1,0
liveanimation.json,json,73433681,729,3217,8,1,0
login_loading.json,json,73434465,1512,17901,8,1,0
lottie_pay_loading.json,json,73436032,1480,17633,8,1,0
mini_player_double_tap_hint.json,json,73437572,4361,26786,8,1,0
music_podcast_animation_playing.json,json,73442002,714,6542,8,1,0
music_podcast_triple_animation_coin.svga,svga,73442789,3286,3450,8,1,0
music_podcast_triple_animation_favorite.svga,svga,73446152,2942,3131,8,1,0
music_podcast_triple_animation_like.svga,svga,73449175,2860,3012,8,1,0
native-es5-inline.html,html,73452112,68296,198036,8,1,0
native-es5.html,html,73520467,287,606,8,1,0
native-es5.js,js,73520806,68005,197450,8,1,0
normal_danmaku.cron,cron,73588861,48624,48826,8,1,0
oswald-medium-webfont.ttf,ttf,73637541,4723,8868,8,1,0
ott-Regular.otf,otf,73642326,1852,2720,8,1,0
player_danmaku_recommand.json,json,73644230,1342,6599,8,1,0
player_danmaku_recommand_new.json,json,73645638,1797,9928,8,1,0
player_extension_contract_card_light.json,json,73647505,1465,7516,8,1,0
player_extension_contract_card_wing.json,json,73649048,1750,9391,8,1,0
player_follow_guide.json,json,73650875,973,5044,8,1,0
player_follow_guide_night.json,json,73651909,1062,5727,8,1,0
player_full_screen_like_triple.json,json,73653038,3861,31663,8,1,0
player_interact_default_skin.png,png,73656971,4783,4783,0,0,0
player_interact_gradient.png,png,73661823,772,772,0,0,0
player_is_playing_day.json,json,73662660,767,6684,8,1,0
player_live_avatar_anim.json,json,73663490,713,3109,8,1,0
player_loading_tv.json,json,73664268,1512,17901,8,1,0
player_loading_tv_green.json,json,73665839,1627,19048,8,1,0
player_loading_tv_ogv_movie.json,json,73667531,1595,18115,8,1,0
player_playlist_anim_playing.json,json,73669195,842,7964,8,1,0
player_seek_bar_tv_1.json,json,73670107,898,7229,8,1,0
player_seek_bar_tv_2.json,json,73671067,975,10019,8,1,0
player_seek_bar_tv_buffer_loading.json,json,73672104,2034,23787,8,1,0
player_triple_like_animation.svga,svga,73674213,37874,38570,8,1,0
player_triple_like_animation_without_fires.svga,svga,73712157,34976,35037,8,1,0
player_wave_light_pink.json,json,73747217,767,6684,8,1,0
preload.json,json,73748048,296,644,8,1,0
pull_up_interaction.json,json,73748393,4160,18670,8,1,0
qr_scan_loading.json,json,73752614,1512,17901,8,1,0
record.json,json,73754183,166,498,8,1,0
record_all.json,json,73754404,222,779,8,1,0
rsa_public_key.pem,pem,73754685,228,272,8,1,0
pull_in.xml,xml,73754968,230,481,8,1,0
pull_out.xml,xml,73755252,230,481,8,1,0
search_chapter_play_day.json,json,73755537,767,6684,8,1,0
search_chapter_play_night.json,json,73756369,772,6720,8,1,0
share_config.json,json,73757208,144,201,8,1,0
share_img_loading.json,json,73757406,1512,17901,8,1,0
simple_season_lottie_wave.json,json,73758977,749,6661,8,1,0
single.json,json,73759793,1008,8188,8,1,0
single_night.json,json,73760849,1000,8231,8,1,0
26ADF2EC-9D9C-4F69-8CCD-7981715B7EB2.1.animatedsticker,animatedsticker,73761903,5549,6011,8,1,0
26ADF2EC-9D9C-4F69-8CCD-7981715B7EB2.lic,lic,73767551,293,288,8,1,0
F37EA59A-95FF-479A-A5E3-C447A7FFC1EB.3.animatedsticker,animatedsticker,73767929,5583,6038,8,1,0
F37EA59A-95FF-479A-A5E3-C447A7FFC1EB.lic,lic,73773611,293,288,8,1,0
story_coin_lottie.json,json,73773989,3278,24122,8,1,0
story_coin_lottie_v1.json,json,73777326,1657,21926,8,1,0
story_favorite_lottie.json,json,73779045,1894,11705,8,1,0
story_favorite_lottie_v1.json,json,73781002,1802,11189,8,1,0
story_guide_scroll.svga,svga,73782870,32533,34466,8,1,0
story_like_combo.svga,svga,73815463,10110,10241,8,1,0
story_like_lottie.json,json,73825631,1332,7226,8,1,0
story_living.json,json,73827022,1242,18359,8,1,0
story_playing_icon.json,json,73828318,795,6780,8,1,0
story_seek_bar_icon_1.json,json,73829173,914,7399,8,1,0
story_seek_bar_icon_2.json,json,73830150,995,10053,8,1,0
story_triple_like.json,json,73831208,6469,155590,8,1,0
story_triple_speed_bottom_guide.svga,svga,73837736,4497,4588,8,1,0
story_triple_speed_top_guide.svga,svga,73842306,6467,6511,8,1,0
super_chat_translating.gif,gif,73848843,2200,2200,0,0,0
supplierconfig.json,json,73851108,178,456,8,1,0
tf_rules.json,json,73851342,417,3719,8,1,0
0F241EB7-BD8C-491F-BC46-8776FEDA4C97.3.videotransition,videotransition,73851809,8465,12621,8,1,0
0F241EB7-BD8C-491F-BC46-8776FEDA4C97.lic,lic,73860376,289,508,8,1,0
bundles.json,json,73860753,2557,25912,8,1,0
triple_speed_display.json,json,73863365,762,5083,8,1,0
triple_speed_display_guide.json,json,73864189,1692,11023,8,1,0
upper_bold.otf,otf,73865949,2417,3144,8,1,0
upper_camera_audio_track_loading.json,json,73868417,1207,7122,8,1,0
upper_material_loading_animation.json,json,73869698,1512,17901,8,1,0
upper_medium.otf,otf,73871284,2425,3136,8,1,0
upper_music_beat_bar_graph.json,json,73873762,725,3131,8,1,0
upper_regular.otf,otf,73874555,2391,3064,8,1,0
vertex.glsl,glsl,73877000,123,203,8,1,0
video_uploading.json,json,73877171,928,5766,8,1,0
vip_exchange_ani.svga,svga,73878156,19737,19727,8,1,0
wallets_default.json,json,73897951,1165,4735,8,1,0
white_line_buffering.json,json,73899173,739,3351,8,1,0
white_tv_loadding.json,json,73899974,1534,17685,8,1,0
xx-DIN-Regular.ttf,ttf,73901567,1787,2832,8,1,0
AndroidManifest.xml,xml,73903409,42048,287512,8,1,0
--8.png,png,73945506,454,454,0,0,0
--9.xml,xml,73946002,249,608,8,1,0
--K.xml,xml,73946292,1756,5944,8,1,0
--L.xml,xml,73948089,295,544,8,1,0
--U.xml,xml,73948425,270,592,8,1,0
--W.png,png,73948736,399,399,0,0,0
--c.xml,xml,73949179,657,1732,8,1,0
-0z.xml,xml,73949877,293,688,8,1,0
