filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
AndroidManifest.xml,xml,0,23123,152804,8,0,0
HMSCore-availableupdate.properties,properties,23172,46,46,0,0,0
HMSCore-base.properties,properties,23282,35,35,0,0,0
HMSCore-device.properties,properties,23371,37,37,0,0,0
HMSCore-hatool.properties,properties,23465,37,37,0,0,0
HMSCore-log.properties,properties,23557,34,34,0,0,0
HMSCore-stats.properties,properties,23646,36,36,0,0,0
HMSCore-ui.properties,properties,23736,33,33,0,0,0
account-api_release.kotlin_module,kotlin_module,23821,11,16,8,0,1
account_release.kotlin_module,kotlin_module,23904,93,103,8,0,1
ad-api_release.kotlin_module,kotlin_module,24065,11,16,8,0,1
ad_base_release.kotlin_module,kotlin_module,24143,11,16,8,0,1
ad_release.kotlin_module,kotlin_module,24222,11,16,8,0,1
adi-nop_release.kotlin_module,kotlin_module,24296,11,16,8,0,1
androidx.activity_activity.version,version,24375,6,6,0,0,0
androidx.annotation_annotation-experimental.version,version,24462,6,6,0,0,0
androidx.appcompat_appcompat-resources.version,version,24558,6,6,0,0,0
androidx.appcompat_appcompat.version,version,24650,6,6,0,0,0
androidx.arch.core_core-runtime.version,version,24734,6,6,0,0,0
androidx.asynclayoutinflater_asynclayoutinflater.version,version,24818,6,6,0,0,0
androidx.browser_browser.version,version,24922,6,6,0,0,0
androidx.cardview_cardview.version,version,25002,6,6,0,0,0
androidx.coordinatorlayout_coordinatorlayout.version,version,25082,6,6,0,0,0
androidx.core_core-ktx.version,version,25182,6,6,0,0,0
androidx.core_core.version,version,25258,6,6,0,0,0
androidx.cursoradapter_cursoradapter.version,version,25330,6,6,0,0,0
androidx.customview_customview.version,version,25422,6,6,0,0,0
androidx.databinding_baseAdapters.version,version,25506,5,5,0,0,0
androidx.databinding_library.version,version,25593,5,5,0,0,0
androidx.documentfile_documentfile.version,version,25673,6,6,0,0,0
androidx.drawerlayout_drawerlayout.version,version,25762,6,6,0,0,0
androidx.dynamicanimation_dynamicanimation.version,version,25850,6,6,0,0,0
androidx.exifinterface_exifinterface.version,version,25946,6,6,0,0,0
androidx.fragment_fragment.version,version,26038,6,6,0,0,0
androidx.interpolator_interpolator.version,version,26118,6,6,0,0,0
androidx.legacy_legacy-support-core-ui.version,version,26206,6,6,0,0,0
androidx.legacy_legacy-support-core-utils.version,version,26298,6,6,0,0,0
androidx.legacy_legacy-support-v13.version,version,26394,6,6,0,0,0
androidx.legacy_legacy-support-v4.version,version,26482,6,6,0,0,0
androidx.lifecycle_lifecycle-extensions.version,version,26570,6,6,0,0,0
androidx.lifecycle_lifecycle-livedata-core.version,version,26662,6,6,0,0,0
androidx.lifecycle_lifecycle-livedata.version,version,26758,6,6,0,0,0
androidx.lifecycle_lifecycle-process.version,version,26850,6,6,0,0,0
androidx.lifecycle_lifecycle-reactivestreams-ktx.version,version,26942,6,6,0,0,0
androidx.lifecycle_lifecycle-reactivestreams.version,version,27046,6,6,0,0,0
androidx.lifecycle_lifecycle-runtime.version,version,27146,6,6,0,0,0
androidx.lifecycle_lifecycle-service.version,version,27238,6,6,0,0,0
androidx.lifecycle_lifecycle-viewmodel-savedstate.version,version,27330,6,6,0,0,0
androidx.lifecycle_lifecycle-viewmodel.version,version,27434,6,6,0,0,0
androidx.loader_loader.version,version,27526,6,6,0,0,0
androidx.localbroadcastmanager_localbroadcastmanager.version,version,27602,6,6,0,0,0
androidx.media_media.version,version,27710,13,13,0,0,0
androidx.palette_palette.version,version,27793,6,6,0,0,0
androidx.percentlayout_percentlayout.version,version,27870,6,6,0,0,0
androidx.preference_preference.version,version,27962,6,6,0,0,0
androidx.print_print.version,version,28046,6,6,0,0,0
androidx.recyclerview_recyclerview.version,version,28122,6,6,0,0,0
androidx.room_room-runtime.version,version,28210,6,6,0,0,0
androidx.room_room-rxjava2.version,version,28290,6,6,0,0,0
androidx.savedstate_savedstate.version,version,28370,6,6,0,0,0
androidx.slidingpanelayout_slidingpanelayout.version,version,28454,6,6,0,0,0
androidx.sqlite_sqlite-framework.version,version,28554,6,6,0,0,0
androidx.sqlite_sqlite.version,version,28642,6,6,0,0,0
androidx.swiperefreshlayout_swiperefreshlayout.version,version,28718,6,6,0,0,0
androidx.transition_transition.version,version,28818,6,6,0,0,0
androidx.vectordrawable_vectordrawable-animated.version,version,28902,6,6,0,0,0
androidx.vectordrawable_vectordrawable.version,version,29002,6,6,0,0,0
androidx.versionedparcelable_versionedparcelable.version,version,29094,6,6,0,0,0
androidx.viewpager2_viewpager2.version,version,29198,6,6,0,0,0
androidx.viewpager_viewpager.version,version,29282,6,6,0,0,0
androidx.webkit_webkit.version,version,29366,6,6,0,0,0
annotation-experimental_release.kotlin_module,kotlin_module,29442,20,24,8,0,1
appwidget_release.kotlin_module,kotlin_module,29546,64,75,8,0,1
audio-api_release.kotlin_module,kotlin_module,29680,11,16,8,0,1
audio_release.kotlin_module,kotlin_module,29761,11,16,8,0,1
avg_release.kotlin_module,kotlin_module,29838,72,78,8,0,1
base_release.kotlin_module,kotlin_module,29974,11,16,8,0,1
bootstrap_release.kotlin_module,kotlin_module,30050,83,104,8,0,1
bottomnav_release.kotlin_module,kotlin_module,30203,11,16,8,0,1
bran_stark_release.kotlin_module,kotlin_module,30284,11,16,8,0,1
business_aop_release.kotlin_module,kotlin_module,30366,11,16,8,0,1
club-api_release.kotlin_module,kotlin_module,30450,11,16,8,0,1
club_release.kotlin_module,kotlin_module,30530,103,166,8,0,1
collection-api_release.kotlin_module,kotlin_module,30698,11,16,8,0,1
collection_release.kotlin_module,kotlin_module,30784,134,243,8,0,1
column-api_release.kotlin_module,kotlin_module,30989,11,16,8,0,1
column_release.kotlin_module,kotlin_module,31071,98,169,8,0,1
com.google.android.material_material.version,version,31236,6,6,0,0,0
comment-api_release.kotlin_module,kotlin_module,31326,51,62,8,0,1
comment_release.kotlin_module,kotlin_module,31449,87,128,8,0,1
