filename,type,offset,compressedSize,uncompressedSize,method,zlib,7zip
AndroidManifest.xml,xml,0,22976,151700,8,0,0
HMSCore-availableupdate.properties,properties,23025,46,46,0,0,0
HMSCore-base.properties,properties,23138,35,35,0,0,0
HMSCore-device.properties,properties,23227,37,37,0,0,0
HMSCore-hatool.properties,properties,23321,37,37,0,0,0
HMSCore-log.properties,properties,23413,34,34,0,0,0
HMSCore-stats.properties,properties,23502,36,36,0,0,0
HMSCore-ui.properties,properties,23592,33,33,0,0,0
account-api_release.kotlin_module,kotlin_module,23677,11,16,8,0,1
account_release.kotlin_module,kotlin_module,23760,93,103,8,0,1
ad-api_release.kotlin_module,kotlin_module,23921,11,16,8,0,1
ad_base_release.kotlin_module,kotlin_module,23999,11,16,8,0,1
ad_release.kotlin_module,kotlin_module,24078,11,16,8,0,1
adi-nop_release.kotlin_module,kotlin_module,24152,11,16,8,0,1
androidx.activity_activity.version,version,24231,6,6,0,0,0
androidx.annotation_annotation-experimental.version,version,24318,6,6,0,0,0
androidx.appcompat_appcompat-resources.version,version,24414,6,6,0,0,0
androidx.appcompat_appcompat.version,version,24506,6,6,0,0,0
androidx.arch.core_core-runtime.version,version,24590,6,6,0,0,0
androidx.asynclayoutinflater_asynclayoutinflater.version,version,24674,6,6,0,0,0
androidx.browser_browser.version,version,24778,6,6,0,0,0
androidx.cardview_cardview.version,version,24858,6,6,0,0,0
androidx.coordinatorlayout_coordinatorlayout.version,version,24938,6,6,0,0,0
androidx.core_core-ktx.version,version,25038,6,6,0,0,0
androidx.core_core.version,version,25114,6,6,0,0,0
androidx.cursoradapter_cursoradapter.version,version,25186,6,6,0,0,0
androidx.customview_customview.version,version,25278,6,6,0,0,0
androidx.databinding_baseAdapters.version,version,25362,5,5,0,0,0
androidx.databinding_library.version,version,25449,5,5,0,0,0
androidx.documentfile_documentfile.version,version,25529,6,6,0,0,0
androidx.drawerlayout_drawerlayout.version,version,25618,6,6,0,0,0
androidx.dynamicanimation_dynamicanimation.version,version,25706,6,6,0,0,0
androidx.exifinterface_exifinterface.version,version,25802,6,6,0,0,0
androidx.fragment_fragment.version,version,25894,6,6,0,0,0
androidx.interpolator_interpolator.version,version,25974,6,6,0,0,0
androidx.legacy_legacy-support-core-ui.version,version,26062,6,6,0,0,0
androidx.legacy_legacy-support-core-utils.version,version,26154,6,6,0,0,0
androidx.legacy_legacy-support-v13.version,version,26250,6,6,0,0,0
androidx.legacy_legacy-support-v4.version,version,26338,6,6,0,0,0
androidx.lifecycle_lifecycle-extensions.version,version,26426,6,6,0,0,0
androidx.lifecycle_lifecycle-livedata-core.version,version,26518,6,6,0,0,0
androidx.lifecycle_lifecycle-livedata.version,version,26614,6,6,0,0,0
androidx.lifecycle_lifecycle-process.version,version,26706,6,6,0,0,0
androidx.lifecycle_lifecycle-reactivestreams-ktx.version,version,26798,6,6,0,0,0
androidx.lifecycle_lifecycle-reactivestreams.version,version,26902,6,6,0,0,0
androidx.lifecycle_lifecycle-runtime.version,version,27002,6,6,0,0,0
androidx.lifecycle_lifecycle-service.version,version,27094,6,6,0,0,0
